 t              planeWave_Unnamed_point_outRq_Ex_50_50_50.dat       incid
     0.45449664298758E-006     0.61833239160478E-002     0.56390189229205E-006
     0.45834832462788E-006     0.60517909005284E-002     0.19766838477153E-006
     0.46219997784647E-006     0.52498541772366E-002     0.66786419949949E-007
     0.46605165948677E-006     0.40557067841291E-002     0.21749425371809E-007
     0.46990331270536E-006     0.27115871198475E-002     0.68270260555892E-008
     0.47375499434565E-006     0.13719747075811E-002     0.20654735699566E-008
     0.47760664756424E-006     0.11677131988108E-003     0.60233606991034E-009
     0.48145830078283E-006    -0.10014601284638E-002     0.16930892798861E-009
     0.48531001084484E-006    -0.19174350891262E-002     0.45870245102275E-010
     0.48916166406343E-006    -0.25479272007942E-002     0.11979086125824E-010
     0.49301331728202E-006    -0.28220983222127E-002     0.30153401477107E-011
     0.49686497050061E-006    -0.27247301768512E-002     0.73161897547191E-012
     0.50071662371920E-006    -0.23224377073348E-002     0.17110523609955E-012
     0.50456833378121E-006    -0.17535320948809E-002     0.38570099262884E-013
     0.50841998699980E-006    -0.11834095930681E-002     0.32029991858676E-014
     0.51227164021839E-006    -0.74702769052237E-003     0.00000000000000E+000
     0.51612329343698E-006    -0.50669279880822E-003     0.00000000000000E+000
     0.51997500349898E-006    -0.44396764133126E-003     0.00000000000000E+000
     0.52382665671757E-006    -0.48615186824463E-003     0.00000000000000E+000
     0.52767830993616E-006    -0.55089435772970E-003     0.00000000000000E+000
     0.53152996315475E-006    -0.58497983263806E-003     0.00000000000000E+000
     0.53538167321676E-006    -0.57895149802789E-003     0.00000000000000E+000
     0.53923332643535E-006    -0.55473844986409E-003     0.00000000000000E+000
     0.54308497965394E-006    -0.53870759438723E-003     0.00000000000000E+000
     0.54693663287253E-006    -0.53844606736675E-003     0.00000000000000E+000
     0.55078834293454E-006    -0.53656339878216E-003     0.00000000000000E+000
     0.55463999615313E-006    -0.50311652012169E-003     0.00000000000000E+000
     0.55849164937172E-006    -0.41665270691738E-003     0.00000000000000E+000
     0.56234330259031E-006    -0.27952104574069E-003     0.00000000000000E+000
     0.56619495580890E-006    -0.11851670569740E-003     0.00000000000000E+000
     0.57004666587090E-006     0.27990507078357E-004     0.00000000000000E+000
     0.57389831908949E-006     0.12781936675310E-003     0.00000000000000E+000
     0.57774997230808E-006     0.16760035941843E-003     0.00000000000000E+000
     0.58160162552667E-006     0.15453812375199E-003     0.00000000000000E+000
     0.58545333558868E-006     0.10871545237023E-003     0.00000000000000E+000
     0.58930498880727E-006     0.52431591029745E-004     0.00000000000000E+000
     0.59315664202586E-006     0.29463481041603E-005     0.00000000000000E+000
     0.59700829524445E-006    -0.28914095310029E-004     0.00000000000000E+000
     0.60086000530646E-006    -0.36048095353181E-004     0.00000000000000E+000
     0.60471165852505E-006    -0.12369924661471E-004     0.00000000000000E+000
     0.60856331174364E-006     0.46146167733241E-004     0.00000000000000E+000
     0.61241496496223E-006     0.13600886450149E-003     0.00000000000000E+000
     0.61626667502424E-006     0.24008337641135E-003     0.00000000000000E+000
     0.62011832824282E-006     0.32720059971325E-003     0.00000000000000E+000
     0.62396998146141E-006     0.36163014010526E-003     0.00000000000000E+000
     0.62782163468000E-006     0.31936381128617E-003     0.00000000000000E+000
     0.63167328789859E-006     0.20159134874120E-003     0.00000000000000E+000
     0.63552499796060E-006     0.36409255699255E-004     0.00000000000000E+000
     0.63937665117919E-006    -0.13235959340818E-003     0.00000000000000E+000
     0.64322830439778E-006    -0.26221876032650E-003     0.00000000000000E+000
     0.64707995761637E-006    -0.32556100632064E-003     0.00000000000000E+000
     0.65093166767838E-006    -0.31430166563950E-003     0.00000000000000E+000
     0.65478332089697E-006    -0.23651574156247E-003     0.00000000000000E+000
     0.65863497411556E-006    -0.10999062214978E-003     0.00000000000000E+000
     0.66248662733415E-006     0.43066189391539E-004     0.00000000000000E+000
     0.66633833739616E-006     0.19904163491447E-003     0.00000000000000E+000
     0.67018999061474E-006     0.33454282674938E-003     0.00000000000000E+000
     0.67404164383333E-006     0.42779927025549E-003     0.00000000000000E+000
     0.67789329705192E-006     0.46091951662675E-003     0.00000000000000E+000
     0.68174495027051E-006     0.42372278403491E-003     0.00000000000000E+000
     0.68559666033252E-006     0.31831115484238E-003     0.00000000000000E+000
     0.68944831355111E-006     0.16140588559210E-003     0.00000000000000E+000
     0.69329996676970E-006    -0.18683567759581E-004     0.00000000000000E+000
     0.69715161998829E-006    -0.19023766799364E-003     0.00000000000000E+000
     0.70100333005030E-006    -0.32701325835660E-003     0.00000000000000E+000
     0.70485498326889E-006    -0.41291257366538E-003     0.00000000000000E+000
     0.70870663648748E-006    -0.44132198672742E-003     0.00000000000000E+000
     0.71255828970607E-006    -0.41192380012944E-003     0.00000000000000E+000
     0.71640999976808E-006    -0.32851358992048E-003     0.00000000000000E+000
     0.72026165298666E-006    -0.19928596157115E-003     0.00000000000000E+000
     0.72411330620525E-006    -0.38235288229771E-004     0.00000000000000E+000
     0.72796495942384E-006     0.13483036309481E-003     0.00000000000000E+000
     0.73181666948585E-006     0.29656244441867E-003     0.00000000000000E+000
     0.73566832270444E-006     0.42366603156552E-003     0.00000000000000E+000
     0.73951997592303E-006     0.49719138769433E-003     0.00000000000000E+000
     0.74337162914162E-006     0.50715485122055E-003     0.00000000000000E+000
     0.74722328236021E-006     0.45518661499955E-003     0.00000000000000E+000
     0.75107499242222E-006     0.35253781243227E-003     0.00000000000000E+000
     0.75492664564081E-006     0.21470389037859E-003     0.00000000000000E+000
     0.75877829885940E-006     0.57302153436467E-004     0.00000000000000E+000
     0.76262995207799E-006    -0.10409539390821E-003     0.00000000000000E+000
     0.76648166214000E-006    -0.25197677314281E-003     0.00000000000000E+000
     0.77033331535858E-006    -0.36653236020356E-003     0.00000000000000E+000
     0.77418496857717E-006    -0.42886685696431E-003     0.00000000000000E+000
     0.77803662179576E-006    -0.42603621841408E-003     0.00000000000000E+000
     0.78188833185777E-006    -0.35429984563962E-003     0.00000000000000E+000
     0.78573998507636E-006    -0.21921804000158E-003     0.00000000000000E+000
     0.78959163829495E-006    -0.34291020710953E-004     0.00000000000000E+000
     0.79344329151354E-006     0.18075449042954E-003     0.00000000000000E+000
     0.79729500157555E-006     0.40287262527272E-003     0.00000000000000E+000
